club_name,city,foundation_date,club_id,province
UKS Mieszko,Gorzów Wlkp.,1995-01-01,1500001,lubuskie
UKJ LEGION,Zamość,2007-01-01,1500002,lubelskie
LMUKS OLIMPIK,Suwałki,2003-01-01,1500003,podlaskie
UKS CSW LIDER,Zamość,2010-01-01,1500004,lubelskie
LKS Spartakus,Pyrzyce,,1500005,zachodniopomorskie
KS ONI,Lublin,2008-01-01,1500006,lubelskie
UKS FUKS,Warszawa,2003-01-01,1500007,mazowieckie
MULKS JUNIOR,Dzierżoniów,1999-01-01,1500008,dolnośląskie
"LUKS ""Lubzina""",Lubzina,1995-01-01,1500009,podkarpackie
UKSJ NIPPON,Olsztyn,2007-01-01,1500010,warmińsko-mazurskie
UAKS PODLASIE,Białystok,2012-01-01,1500011,podlaskie
ZTS Sokół,Lublin,1991-01-01,1500012,lubelskie
UKS HUTNIK,Pieńsk,1965-01-01,1500013,dolnośląskie
LUKS SYRENA,Gnojnica,1994-01-01,1500014,podkarpackie
KS Koronowo,Koronowo,2011-01-01,1500015,kujawsko-pomorskie
"KS ""SOBIESKI""",Poznań,1985-01-01,1500016,wielkopolskie
UKS SAMSON przy S P,Kobylin,1996-01-01,1500017,wielkopolskie
KS. AZS- AWF,Gorzów Wlkp.,1978-01-01,1500018,lubuskie
TA ROZUM,Krotoszyn,2001-01-01,1500019,wielkopolskie
UKS NIEDŹWIADEK,Warszawa,2011-01-01,1500021,mazowieckie
ULKS GULIWER,Kielce,2006-01-01,1500022,świętokrzyskie
MKS ROKITA,Brzeg Dolny,,1500023,dolnośląskie
KS BUDOWLANI,Olsztyn,1957-01-01,1500024,warmińsko-mazurskie
"KS ""Agros""",Zamość,,1500025,lubelskie
WLKS Nowe Iganie,Siedlce - Nowe Iganie,,1500026,mazowieckie
"UKS ""SORGA''",Zamość,2010-01-01,1500027,lubelskie
Klub Sportowy 20,Łódź,2005-01-01,1500028,łódzkie
UKS ENERGETYK,Poznań,,1500029,wielkopolskie
KS Akademia Judo,Poznań,2009-01-01,1500030,wielkopolskie
"UKS ""SIÓDEMKA""",Strzelce Opolskie,1999-01-01,1500032,opolskie
UKS MARYSIN WAWERSKI,Warszawa,2005-01-01,1500033,mazowieckie
KS DALIN,Myślenice,1921-01-01,1500034,małopolskie
PTC,Pabianice,1906-01-01,1500035,łódzkie
UKS HERKULES,Łomża,2000-01-01,1500036,podlaskie
MKS POGOŃ TYSZOWCE,Tyszowce,2011-01-01,1500037,lubelskie
UKS MUSTANG,Obra,2000-01-01,1500038,wielkopolskie
UKS KORONA,Kaława,2010-01-01,1500039,lubuskie
MUKZ GLADIATOR,Kraków,2000-01-01,1500040,małopolskie
KS ORŁY,Milejów,2012-01-01,1500041,lubelskie
LKS Feniks Pesta,Stargard,2000-01-01,1500042,zachodniopomorskie
Gorzowskie Stowarzyszenie Sportu i Rekreacji,Gorzów Wlkp.,2004-01-01,1500043,lubuskie
UKS GIMNAZJON,Suchy Las,2003-01-01,1500044,wielkopolskie
UKS Atleta,Łódź,2007-01-01,1500045,łódzkie
MKS JUVENIA,Wrocław,1946-01-01,1500046,dolnośląskie
UKS Master,Łódź,,1500047,łódzkie
LUKS WARMIA,Lidzbark Warmiński,,1500048,warmińsko-mazurskie
ULKS Olimpijczyk,Chełm,,1600001,lubelskie
UKS IRON BULLS,Bielawa,2013-01-01,1600002,dolnośląskie
SSA Legia 1926,Warszawa,1926-01-01,1600003,mazowieckie
UKS Orzeł,Stary Zamość,2000-01-01,1600004,lubelskie
UKS Międzychodzka Akademia Sumo,Międzychód,2016-01-01,1600005,wielkopolskie
UKS SMS,Łódź,1997-01-01,1600006,łódzkie
UKS ZDROWY TARGÓWEK,Warszawa,2001-01-01,1600007,mazowieckie
KS Sumoka,Rzeszów,2014-01-01,1700001,podkarpackie
AKADEMIA MLUKSIAKÓW,Karlino,,1700002,zachodniopomorskie
"KS Młodzieży i Dzieci ""SMiD""",Rogów,,1700003,mazowieckie
ULKS Bursztyn,Lewin Kłodzki,2002-01-01,1700004,dolnośląskie
OLIMPIJCZYK,Sulmierzyce,2014-01-01,1800001,wielkopolskie
ULKS IPPON,Jarocin,,1800002,wielkopolskie
ULKS Bizon,Milicz,,1800003,dolnośląskie
ULKS Bizon,Milicz,1985-01-01,1800004,dolnośląskie
Judo Zielińscy Kwidzyn,Kwidzyn,2014-01-01,1900001,pomorskie
KS Spartakus,Międzyrzecz,,1900002,lubuskie
LUKS przy OSP i SP nr 3,Kudowa Zdrój,1993-01-01,1900003,dolnośląskie
Siedlecki Klub Sportowy Gladiator,Siedlce,,1900004,mazowieckie
"Towarzystwo Sportowe ""Gwardia"" Olsztyn",Olsztyn,2005-01-01,2000001,warmińsko-mazurskie
KS DRAGON Kwidzyn,Kwidzyn,2020-01-01,2000002,pomorskie
UKS Progress,Warszawa,2015-01-01,2000003,mazowieckie
"ULKS ""28"" we Włyniu",Xxxxxx,2010-01-01,2000004,łódzkie
KS Bieżanowianka,Kraków,1925-01-01,2000005,małopolskie
UKS Niska,Warszawa,,2000006,mazowieckie
WKS Gymsport,Wrocław,2012-01-01,2000007,dolnośląskie
"Klub Sportowy ""BUDOWLANI"" Łódź",Łódź,1948-01-01,2000008,łódzkie
FIGHTMAN,Bochnia,2010-01-01,2100001,małopolskie
Klub Judo Shamo Ełk,Ełk,2017-01-01,2100002,warmińsko-mazurskie
Polska Federacja Ju-jitsu i Kobudo,Jaworzno,1993-01-01,2100003,śląskie
UKS JUDO,Jelcz-Laskowice,,2100004,dolnośląskie
LUKS POGOŃ Czartowczyk,Czartowczyk,,2100005,podkarpackie
GKS ARMATY,Stoczek Łukowski,,2100006,lubelskie
NISKA,Warszawa,,2100007,""
