competition_name,city,start_date,end_date,competition_type,competition_id
Młodzieżowe Mistrzostwa Polski,KROTOSZYN,2020-09-05,2020-09-06,Mistrzostwa Polski,990308
Puchar Polski,SIEDLCE - STOK LACKI,2019-11-16,2019-11-17,Puchar Polski,1068327
Puchar Polski,SIEDLCE - STOK LACKI,2020-07-17,2020-07-18,Puchar Polski,1523245
Mistrzostwa Polski,ROPCZYCE,2021-03-13,2021-03-14,Mistrzostwa Polski,3047711
Puchar Polski,DĘBICA,2021-02-13,2021-02-14,Puchar Polski,4146319
Puchar Polski,KROTOSZYN,2019-12-07,2019-12-08,Puchar Polski,8028529
Puchar Polski,KROTOSZYN,2020-12-11,2020-12-12,Puchar Polski,13401699
Puchar Polski,KWIDZYN,2021-03-05,2021-03-06,Puchar Polski,14569551
Mistrzostwa Polski,SUWAŁKI,2021-05-29,2021-05-29,Mistrzostwa Polski,20418158
Mistrzostwa Polski,KROTOSZYN,2020-09-05,2020-09-06,Mistrzostwa Polski,22291941
Puchar Polski,KROTOSZYN,2020-12-12,2020-12-13,Puchar Polski,26839583
Mistrzostwa Polski,BRZEG DOLNY,2020-10-09,2020-10-10,Mistrzostwa Polski,30302234
Mistrzostwa Polski,KWIDZYN,2021-03-05,2021-03-06,Mistrzostwa Polski,32717271
Puchar Polski,SUWAŁKI,2020-03-07,2020-03-08,Puchar Polski,62442147
Mistrzostwa Polski,SIEDLCE,2014-06-06,2014-06-07,Mistrzostwa Polski,79019296
Puchar Polski,KIELCE,2020-09-11,2020-09-12,Puchar Polski,80327465
Puchar Polski,SIEDLCE,2021-04-24,2021-04-25,Puchar Polski,84317715
Puchar Polski,DĘBICA,2020-02-22,2020-02-23,Puchar Polski,85004946
Mistrzostwa Polski,KORONOWO,2021-06-04,2021-06-05,Mistrzostwa Polski,91188621
Mistrzostwa Polski,PYRZYCE,2020-10-03,2020-10-03,Mistrzostwa Polski,91237218
Puchar Polski,NOWINY,2021-05-07,2021-05-08,Puchar Polski,91255308
Mistrzostwa Polski,MYŚLENICE,2020-09-26,2020-09-26,Mistrzostwa Polski,94940211
