first_competitor,second_competitor,category_id,winner,match_id
2000046,2000192,48884355,2000192,13879
1700131,1700144,63722814,1700144,17045
1600428,1500692,1605247,1500692,19091
1800062,1600087,28586144,1800062,25218
1700131,1600280,98242958,1600280,43130
1500423,1600514,95276352,1500423,60071
1600257,1500569,22019079,1500569,95646
1600329,1800003,32058656,1600329,131597
1700114,1600507,47337021,1700114,165327
1800093,1500692,1605247,1500692,190821
1500160,1500310,37540814,1500160,198242
1500112,1800415,80466941,1500112,217081
2000108,1900238,70083850,1900238,233444
2100225,1900001,12375490,2100225,237486
1900102,1700453,24653464,1900102,239728
1700538,1700075,28586144,1700538,253691
2100099,1900289,93340099,2100099,261067
1501182,1800154,37025873,1800154,289868
2000186,1700483,48884355,2000186,293787
1500106,1500383,16191362,1500106,320723
1900042,1800194,67704249,1800194,329839
1700215,1800306,63388575,1700215,339321
2100050,2100094,1605247,2100094,339540
1600613,1900248,38479101,1900248,347805
1900308,1800015,80027610,1800015,351575
1800226,1700483,3837516,1800226,360204
1700230,1900102,28586144,1700230,367088
1900367,1900145,94394146,1900145,388337
1700177,1800056,67704249,1700177,403626
1700071,1600615,86839569,1600615,410237
1700529,1800226,65548502,1800226,415621
1500533,1500612,37376827,1500533,456023
1500635,1600280,46026656,1500635,483909
1800104,1700110,32058656,1800104,512300
2000335,2000097,83384433,2000097,514000
1700385,1900104,29177332,1900104,523122
1500410,1500612,90270649,1500612,525445
1500391,1600267,34601640,1500391,556344
1700131,1900067,82473321,1900067,557230
2000267,2000273,81687208,2000267,612172
1500335,1500310,90270649,1500335,635138
1500949,1900289,93340099,1500949,636458
1500408,1500426,15999797,1500426,652222
1500410,1600127,3837516,1500410,673815
1800093,2000046,41150228,1800093,704842
1500446,1501182,66137940,1500446,715758
1500381,1500426,17626627,1500426,736174
1800392,1800364,83410081,1800392,759232
1900104,1900042,94394146,1900042,769353
2100095,1800364,7798184,1800364,793581
1600087,2000007,38479101,1600087,798705
1500336,1500648,67284773,1500648,851542
1500311,2100075,92288378,2100075,863040
1500104,1500138,69502754,1500138,905737
1900303,1900100,37376827,1900100,939893
1500112,1600280,89059425,1500112,947576
1700253,1600087,53453606,1600087,980429
2100201,2100217,3585411,2100217,994212
1600443,1700015,78601896,1700015,997757
1900104,1900042,94394146,1900042,1011647
1800415,1500569,7798184,1500569,1012944
1900309,1700453,24653464,1900309,1022580
2000210,1900020,69254490,2000210,1029600
1800403,1900021,73673141,1800403,1030265
1800096,1600329,32058656,1600329,1041756
1900033,2000105,70083850,1900033,1050104
1800062,1600613,28586144,1600613,1060549
2000007,2100234,38479101,2100234,1079609
