first_competitor,second_competitor,category_id,match_id,winner,description
1800348,1700061,35567886,66,1800348,1/8 F
1600167,1800364,26852877,4256,1800364,Finał III-V
1500215,1500426,25687572,7503,1500215,1/2 F
1500621,1500403,54295013,18147,1500621,1/8 F
1500339,1500294,57025092,23916,1500294,Runda 2
1700110,1500682,2430748,31190,1700110,Runda 2
1500395,1500271,63862941,44093,1500271,Runda 2
1600279,1800087,39484878,45948,1600279,1/8 F
1500682,1600267,2430748,53961,1500682,Runda 1
1800208,1700297,17230004,57872,1800208,1/2 F
1500376,1500145,20718253,57977,1500376,1/2 F
2000156,1600502,22094829,61750,1600502,Eliminacje
1600267,1700260,26274767,62682,1600267,Runda 3
1500491,1500536,52000580,64901,1500536,Repasaż 1
1800061,1800422,88444438,73851,1800422,Repasaż F
1600406,1500388,27203895,74840,1600406,Runda 3
1500376,1500447,52768852,76415,1500376,Runda 2
1500371,1600301,54637361,77342,1500371,Repasaż 2
1600268,1500104,77872119,84976,1500104,1/4 F
1500421,1500955,36128040,92594,1500955,Runda 3
1700132,1800098,85743187,93796,1700132,Runda 1
1500080,1600268,87351507,99389,1500080,Runda 3
1500068,1700169,59661914,99746,1500068,Runda 1
1600167,1500158,24141251,101467,1500158,Runda 5
1600377,1800332,53288209,103702,1600377,Runda 3
1500310,1500746,25532992,110463,1500746,1/8 F
1800009,1500533,36869937,112007,1500533,1/2 F
1700453,1800306,39628865,119388,1800306,Runda 5
1600335,1600250,17280006,123848,1600335,Runda 2
2000022,2000196,79830284,127455,2000196,Runda 5
1500106,1500383,15331448,129398,1500383,Runda 5
1500296,1600054,75768718,132533,1600054,Finał I-II
1500551,1600333,89163656,135178,1500551,Runda 2
2000164,1600504,31362313,138013,2000164,Runda 1
1500465,1500696,82523178,140774,1500696,1/4 F
1800102,1700252,74784957,146504,1700252,Runda 1
1600083,1500648,48166729,154376,1600083,Runda 2
1600267,1600613,95756243,158494,1600267,Repasaż 1
1700015,1500217,93546621,161760,1500217,Runda 1
1900289,1600127,41037331,163060,1600127,Repasaż 1
1500586,1500394,17327764,165428,1500394,Repasaż F
2100226,1900381,91496194,169043,1900381,Runda 2
1600257,1800062,64312783,174635,1600257,Runda 4
1900132,1900007,6453084,176960,1900132,Runda 5
1700359,1700027,14224843,183425,1700359,Runda 1
2000170,2000037,5599446,184648,2000170,1/4 F
2000316,1900238,59515960,184848,2000316,Runda 2
1500329,1800003,12975823,197620,1500329,Runda 3
