weight_category,age_category,category_id,gender
open,Młodzierzowiec (u23),788791,mężczyźni
50,Dziecko (u12),2050588,mężczyźni
60,Kadet (u16),2391867,mężczyźni
45,Młodzik (u14),3670053,mężczyźni
70,Kadet (u16),6159943,kobiety
+115,Młodzierzowiec (u23),7056214,mężczyźni
55,Kadet (u16),7976387,mężczyźni
115,Senior ,11416468,mężczyźni
open,Młodzierzowiec (u21),11789269,kobiety
60,Młodzik (u14),12172638,mężczyźni
50,Młodzik (u14),12459831,mężczyźni
60,Młodzierzowiec (u23),13341910,kobiety
open,Senior ,14022542,mężczyźni
60,Młodzik (u14),16718394,kobiety
+70,Kadet (u16),18262850,kobiety
35,Dziecko (u12),18934046,mężczyźni
60,Dziecko (u12),21564439,kobiety
65,Młodzierzowiec (u21),22435073,kobiety
77,Senior ,23083275,mężczyźni
+80,Młodzierzowiec (u23),23115853,kobiety
70,Junior (u18),25935642,kobiety
73,Młodzierzowiec (u21),26031361,kobiety
40,Dziecko (u12),26710485,kobiety
60,Dziecko (u12),27235287,mężczyźni
50,Kadet (u16),28321054,kobiety
55,Junior (u18),29525267,kobiety
100,Kadet (u16),29637582,mężczyźni
45,Młodzik (u14),31241511,kobiety
73,Młodzierzowiec (u23),33129588,kobiety
50,Młodzik (u14),33660626,kobiety
65,Młodzierzowiec (u23),34416420,kobiety
+100,Kadet (u16),37074851,mężczyźni
70,Kadet (u16),37137962,mężczyźni
40,Młodzik (u14),37887177,mężczyźni
open,Kadet (u16),38363885,mężczyźni
open,Junior (u18),39317916,kobiety
60,Kadet (u16),39475554,kobiety
115,Młodzierzowiec (u21),39607754,mężczyźni
70,Młodzierzowiec (u23),41656182,mężczyźni
70,Młodzierzowiec (u21),41809318,mężczyźni
77,Młodzierzowiec (u21),42205546,mężczyźni
+75,Junior (u18),44495100,kobiety
45,Dziecko (u12),45007095,mężczyźni
80,Kadet (u16),48172354,mężczyźni
90,Kadet (u16),48185464,mężczyźni
50,Młodzierzowiec (u21),49044578,kobiety
55,Młodzik (u14),50932801,kobiety
+80,Młodzierzowiec (u21),50984542,kobiety
40,Dziecko (u12),51082679,mężczyźni
92,Senior ,51487447,mężczyźni
60,Młodzierzowiec (u21),52426492,kobiety
+70,Młodzik (u14),53528406,mężczyźni
+115,Senior ,54667287,mężczyźni
55,Dziecko (u12),55896051,kobiety
45,Kadet (u16),56297599,kobiety
50,Młodzierzowiec (u23),58200198,kobiety
100,Młodzierzowiec (u21),58652226,mężczyźni
+115,Młodzierzowiec (u21),59339920,mężczyźni
92,Młodzierzowiec (u23),59373987,mężczyźni
50,Junior (u18),59727583,kobiety
50,Senior ,59940831,kobiety
55,Młodzierzowiec (u23),61254926,kobiety
+65,Młodzik (u14),62383971,kobiety
100,Senior ,63984148,mężczyźni
+80,Senior ,64020189,kobiety
77,Młodzierzowiec (u23),64118465,mężczyźni
60,Senior ,66216656,kobiety
85,Młodzierzowiec (u23),66299006,mężczyźni
80,Młodzierzowiec (u21),67536125,kobiety
30,Dziecko (u12),68621770,kobiety
55,Młodzierzowiec (u21),69124551,kobiety
100,Młodzierzowiec (u23),71470219,mężczyźni
60,Junior (u18),72099783,kobiety
65,Młodzik (u14),72124177,kobiety
65,Młodzik (u14),75406477,mężczyźni
80,Młodzierzowiec (u23),75988168,kobiety
50,Dziecko (u12),76171079,kobiety
open,Młodzierzowiec (u23),77097494,kobiety
65,Kadet (u16),77179560,kobiety
55,Kadet (u16),77949250,kobiety
70,Senior ,78089605,mężczyźni
35,Dziecko (u12),78637428,kobiety
55,Senior ,79628097,kobiety
75,Junior (u18),81140219,kobiety
80,Senior ,82469258,kobiety
35,Młodzik (u14),82701054,kobiety
65,Senior ,85547759,kobiety
55,Dziecko (u12),86382074,mężczyźni
45,Dziecko (u12),86397177,kobiety
55,Młodzik (u14),86747354,mężczyźni
+60,Dziecko (u12),86784665,mężczyźni
65,Junior (u18),87364286,kobiety
92,Młodzierzowiec (u21),87739309,mężczyźni
+60,Dziecko (u12),87761194,kobiety
73,Senior ,87942210,kobiety
open,Młodzierzowiec (u21),90100993,mężczyźni
85,Senior ,90937103,mężczyźni
open,Senior ,91758832,kobiety
40,Młodzik (u14),92308081,kobiety
115,Młodzierzowiec (u23),93404901,mężczyźni
70,Młodzik (u14),93696283,mężczyźni
85,Młodzierzowiec (u21),94855613,mężczyźni
open,Kadet (u16),97216500,kobiety
