weight_category,age_category,category_id,gender
60,Młodzierzowiec (u21),415872,mężczyźni
open,Młodzierzowiec (u23),788791,mężczyźni
70,Junior (u18),1139907,mężczyźni
+95,Senior ,2569929,kobiety
45,Młodzik (u14),3670053,mężczyźni
70,Młodzierzowiec (u21),5869828,kobiety
70,Kadet (u16),6159943,kobiety
+115,Młodzierzowiec (u23),7056214,mężczyźni
55,Kadet (u16),7976387,mężczyźni
+95,Młodzierzowiec (u23),11060543,kobiety
115,Senior ,11416468,mężczyźni
open,Młodzierzowiec (u21),11789269,kobiety
60,Młodzik (u14),12172638,mężczyźni
50,Młodzik (u14),12459831,mężczyźni
75,Kadet (u16),12740731,mężczyźni
60,Młodzierzowiec (u23),13341910,kobiety
open,Senior ,14022542,mężczyźni
+70,Młodzik (u14),15065218,kobiety
60,Młodzik (u14),16718394,kobiety
+70,Kadet (u16),18262850,kobiety
100,Junior (u18),21145055,mężczyźni
+75,Młodzik (u14),22134589,mężczyźni
65,Młodzierzowiec (u21),22435073,kobiety
77,Senior ,23083275,mężczyźni
+80,Młodzierzowiec (u23),23115853,kobiety
+70,Junior (u18),25012099,kobiety
70,Junior (u18),25935642,kobiety
73,Młodzierzowiec (u21),26031361,kobiety
35,Młodzik (u14),26793261,mężczyźni
85,Kadet (u16),27190850,mężczyźni
90,Junior (u18),27495083,mężczyźni
50,Kadet (u16),28321054,kobiety
+60,Młodzik (u14),29465572,kobiety
55,Junior (u18),29525267,kobiety
45,Młodzik (u14),31241511,kobiety
60,Młodzierzowiec (u23),32257475,mężczyźni
73,Młodzierzowiec (u23),33129588,kobiety
50,Młodzik (u14),33660626,kobiety
65,Młodzierzowiec (u23),34416420,kobiety
33,Młodzik (u14),35035739,kobiety
40,Młodzik (u14),37887177,mężczyźni
open,Kadet (u16),38363885,mężczyźni
open,Junior (u18),39317916,kobiety
60,Kadet (u16),39475554,kobiety
115,Młodzierzowiec (u21),39607754,mężczyźni
95,Młodzierzowiec (u23),40363279,kobiety
70,Młodzierzowiec (u23),41656182,mężczyźni
70,Młodzierzowiec (u21),41809318,mężczyźni
77,Młodzierzowiec (u21),42205546,mężczyźni
+75,Junior (u18),44495100,kobiety
75,Młodzik (u14),45603339,mężczyźni
75,Młodzierzowiec (u21),46747047,kobiety
60,Junior (u18),47242545,mężczyźni
50,Młodzierzowiec (u21),49044578,kobiety
55,Młodzik (u14),50932801,kobiety
+80,Młodzierzowiec (u21),50984542,kobiety
92,Senior ,51487447,mężczyźni
60,Młodzierzowiec (u21),52426492,kobiety
+70,Młodzik (u14),53528406,mężczyźni
+115,Senior ,54667287,mężczyźni
45,Kadet (u16),56297599,kobiety
50,Młodzierzowiec (u23),58200198,kobiety
100,Młodzierzowiec (u21),58652226,mężczyźni
+115,Młodzierzowiec (u21),59339920,mężczyźni
92,Młodzierzowiec (u23),59373987,mężczyźni
50,Junior (u18),59727583,kobiety
50,Senior ,59940831,kobiety
55,Młodzierzowiec (u23),61254926,kobiety
95,Senior ,61255731,kobiety
+65,Młodzik (u14),62383971,kobiety
open,Junior (u18),62723316,mężczyźni
100,Senior ,63984148,mężczyźni
+80,Senior ,64020189,kobiety
30,Młodzik (u14),64026826,kobiety
77,Młodzierzowiec (u23),64118465,mężczyźni
60,Senior ,66216656,kobiety
85,Młodzierzowiec (u23),66299006,mężczyźni
80,Młodzierzowiec (u21),67536125,kobiety
80,Junior (u18),68089859,mężczyźni
55,Młodzierzowiec (u21),69124551,kobiety
+65,Kadet (u16),71047097,kobiety
100,Młodzierzowiec (u23),71470219,mężczyźni
60,Junior (u18),72099783,kobiety
65,Młodzik (u14),72124177,kobiety
65,Młodzik (u14),75406477,mężczyźni
80,Młodzierzowiec (u23),75988168,kobiety
open,Młodzierzowiec (u23),77097494,kobiety
65,Kadet (u16),77179560,kobiety
55,Kadet (u16),77949250,kobiety
70,Senior ,78089605,mężczyźni
55,Senior ,79628097,kobiety
60(u23),Senior ,80804385,kobiety
75,Junior (u18),81140219,kobiety
80,Senior ,82469258,kobiety
35,Młodzik (u14),82701054,kobiety
70,Młodzik (u14),83195478,kobiety
65,Senior ,85547759,kobiety
95,Kadet (u16),86711937,mężczyźni
55,Młodzik (u14),86747354,mężczyźni
36,Młodzik (u14),87310756,kobiety
65,Junior (u18),87364286,kobiety
92,Młodzierzowiec (u21),87739309,mężczyźni
73,Senior ,87942210,kobiety
70,Młodzierzowiec (u23),88088736,kobiety
55,Junior (u18),88262922,mężczyźni
+95,Kadet (u16),89229112,mężczyźni
+100,Junior (u18),89281419,mężczyźni
open,Młodzierzowiec (u21),90100993,mężczyźni
85,Senior ,90937103,mężczyźni
open,Senior ,91758832,kobiety
40,Młodzik (u14),92308081,kobiety
115,Młodzierzowiec (u23),93404901,mężczyźni
70,Młodzik (u14),93696283,mężczyźni
85,Młodzierzowiec (u21),94855613,mężczyźni
50,Kadet (u16),95805007,mężczyźni
65,Kadet (u16),96294494,mężczyźni
open,Kadet (u16),97216500,kobiety
75,Młodzierzowiec (u23),99991626,kobiety
